keyword,question,answer
hallo,hallo,Hallo! Wie kann ich helfen?
problem,problem,Bitte beschreibe dein Problem genauer.
netzwerk,Internet geht nicht,Hast du die Kabel und Anschlüsse überprüft? Bitte starte den TfK-Router neu. (siehe [FAQ Netzwerk](https://fehlermeldung.3s-hamburg.de/faq/#section11))
netzwerk,Netzwerk funktioniert nicht,Bitte überprüfe alle Kabel und starte den TfK-Router im Serverschrank neu. (siehe [FAQ Netzwerk](https://fehlermeldung.3s-hamburg.de/faq/#section11))
netzwerk,kein Internet,Prüfe IP-Adresse mit "ipconfig" und teste Verbindung zu Router und NAS. (siehe [FAQ Netzwerk](https://fehlermeldung.3s-hamburg.de/faq/#section11))
netzwerk,Router neu starten,Du kannst den TfK-Router über die Admin-Konsole oder händisch im Serverschrank neu starten. (siehe [FAQ Netzwerk](https://fehlermeldung.3s-hamburg.de/faq/#section11))
nas,Netzwerkspeicher nicht erreichbar,Bitte prüfen ob NAS eingeschaltet ist. Falls nicht erreichbar → NAS und Router neu starten. (siehe [FAQ Netzwerkspeicher](https://fehlermeldung.3s-hamburg.de/faq/#section12))
nas,EduPort funktioniert nicht,Bei Störungen mit EduPort bitte direkt an Dataport oder EduPort-Support wenden. (siehe [FAQ Netzwerkspeicher](https://fehlermeldung.3s-hamburg.de/faq/#section12))
drucker,Drucker druckt nicht,Bitte prüfen: eingeschaltet, Kabel gesteckt, Patronen voll, kein Papierstau. (siehe [FAQ Drucker](https://fehlermeldung.3s-hamburg.de/faq/#section13))
drucker,Netzwerkdrucker,Prüfe ob der Drucker eine IP bekommt und ob du den richtigen Drucker ausgewählt hast. (siehe [FAQ Drucker](https://fehlermeldung.3s-hamburg.de/faq/#section13))
smartboard,Smartboard zeigt kein Bild,Kontrolliere Kabel (nur HDMI oder VGA), Stromversorgung und LED-Anzeigen. (siehe [FAQ Smartboard](https://fehlermeldung.3s-hamburg.de/faq/#section14))
bild,Monitor zeigt nichts an,Kabel prüfen (HDMI/VGA), Treiber im Gerätemanager kontrollieren und ggf. aktualisieren. (siehe [FAQ Bild](https://fehlermeldung.3s-hamburg.de/faq/#section15))
bild,Projektor geht nicht,Überprüfe Kabel, Eingang am Beamer und Treiber. (siehe [FAQ Bild](https://fehlermeldung.3s-hamburg.de/faq/#section15))
ton,Kein Ton,Prüfe Lautstärke, Kabelverbindungen und Treiber im Gerätemanager. (siehe [FAQ Ton](https://fehlermeldung.3s-hamburg.de/faq/#section16))
ton,Soundprobleme,Überprüfe ob Lautsprecher eingeschaltet und korrekt angeschlossen sind. (siehe [FAQ Ton](https://fehlermeldung.3s-hamburg.de/faq/#section16))
software,Programm startet nicht,Läuft es lokal oder auf dem NAS? Wenn NAS → Verbindung prüfen. (siehe [FAQ Software](https://fehlermeldung.3s-hamburg.de/faq/#section17))
software,Fehlermeldung beim Start,Mache einen Screenshot der Fehlermeldung und sende an den Support. (siehe [FAQ Software](https://fehlermeldung.3s-hamburg.de/faq/#section17))
fernwartung,Fernwartung starten,Stelle sicher, dass eine Internetverbindung besteht. Rechtsklick auf Call-for-Help-Icon → Fernwartung starten und Sitzungscode eingeben. (siehe [FAQ Fernwartung](https://fehlermeldung.3s-hamburg.de/faq/#section2))
fernwartung,Sitzungscode funktioniert nicht,Bitte überprüfe Internetverbindung und gib den richtigen Sitzungscode ein. (siehe [FAQ Fernwartung](https://fehlermeldung.3s-hamburg.de/faq/#section2))
